,company_rating,salary_avg_estimate,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
count,900.0,900.0,900.0,900.0,900.0,900.0,900.0
mean,3.9481707317073167,616791.3820754718,3.838303693570451,3.678796169630643,3.903009575923393,3.677701778385773,3.80437756497948
std,0.37582361150029164,467944.1029009911,0.46859966593973273,0.4738563782606771,0.4913188296427054,0.5308780677231068,0.504425346003589
min,1.0,200.0,1.0,1.0,1.0,1.0,1.0
25%,3.8,438510.25,3.6,3.5,3.7,3.4,3.6
50%,3.948170731707317,616791.3820754717,3.838303693570452,3.6787961696306426,3.903009575923393,3.6777017783857726,3.80437756497948
75%,4.1,619706.0,4.0,3.9,4.1,3.9,4.0
max,5.0,5200000.0,5.0,5.0,5.0,5.0,5.0
